year,state,diabetes_prevalence,ci_low,ci_high,state_fips
2014,VIRGIN ISLANDS OF THE U.S.,,No Data,No Data,
2014,CO,7.0,6.5,7.5,8
2014,VT,7.0,6.3,7.7,50
2014,ID,7.1,6.3,7.9,16
2014,MN,7.5,7.1,7.9,27
2014,AK,7.6,6.7,8.7,2
2014,MT,7.6,6.9,8.4,30
2014,UT,7.7,7.2,8.2,49
2014,ME,7.8,7.2,8.5,23
2014,WY,7.8,6.9,8.8,56
2014,NH,7.9,7.1,8.7,33
2014,CT,8.0,7.3,8.7,9
2014,ND,8.0,7.2,8.8,38
2014,OR,8.0,7.3,8.8,41
2014,WI,8.0,7.2,8.8,55
2014,SD,8.2,7.3,9.3,46
2014,WA,8.2,7.6,8.8,53
2014,RI,8.3,7.6,9.1,44
2014,IA,8.4,7.7,9,19
2014,NE,8.4,7.9,8.9,31
2014,NJ,8.7,8.1,9.3,34
2014,MA,8.8,8.2,9.5,25
2014,HI,8.9,8,9.9,15
2014,NV,8.9,7.8,10.1,32
2014,MI,9.0,8.4,9.6,26
2014,VA,9.0,8.4,9.6,51
2014,AZ,9.1,8.5,9.8,4
2014,DC,9.2,8,10.5,11
2014,MD,9.2,8.5,9.9,24
2014,NY,9.2,8.5,10,36
2014,FL,9.4,8.8,10.2,12
2014,IL,9.4,8.5,10.3,17
2014,KS,9.5,9,10,20
2014,PA,9.6,9,10.3,42
2014,DE,9.8,8.8,10.9,10
2014,IN,9.8,9.2,10.4,18
2014,CA,9.9,9.2,10.7,6
2014,NC,9.9,9.2,10.6,37
2014,MO,10.0,9.1,11,29
2014,OH,10.3,9.6,11,39
2014,LA,10.4,9.7,11.2,22
2014,NM,10.4,9.6,11.3,35
2014,SC,10.7,10.1,11.4,45
2014,TX,10.8,10.1,11.5,48
2014,OK,10.9,10.2,11.6,40
2014,GA,11.0,10.2,11.9,13
2014,KY,11.4,10.5,12.3,21
2014,AR,11.5,10.4,12.6,5
2014,TN,11.7,10.7,12.8,47
2014,AL,11.8,11,12.6,1
2014,GUAM,11.8,10.3,13.5,
2014,MS,11.9,10.8,13.1,28
2014,WV,12.0,11.2,12.9,54
2014,PUERTO RICO,14.2,13.3,15.2,
2015,VIRGIN ISLANDS OF THE U.S.,,No Data,No Data,
2015,CO,6.4,5.9,6.9,8
2015,MT,6.7,6,7.6,30
2015,NH,6.8,6.2,7.4,33
2015,MN,6.9,6.4,7.3,27
2015,VT,7.1,6.4,7.9,50
2015,ID,7.3,6.6,8.1,16
2015,WI,7.4,6.6,8.3,55
2015,UT,7.5,7,8.1,49
2015,WY,7.6,6.8,8.4,56
2015,IA,7.7,7,8.4,19
2015,WA,7.7,7.2,8.2,53
2015,AK,7.8,6.6,9.2,2
2015,HI,7.8,7,8.6,15
2015,NJ,7.9,7.3,8.5,34
2015,RI,7.9,7.1,8.8,44
2015,MA,8.0,7.3,8.7,25
2015,NE,8.0,7.5,8.5,31
2015,CT,8.1,7.5,8.8,9
2015,ND,8.1,7.3,9,38
2015,ME,8.2,7.5,9,23
2015,SD,8.4,7.5,9.4,46
2015,PA,8.8,8,9.6,42
2015,KS,8.9,8.5,9.2,20
2015,NY,8.9,8.3,9.5,36
2015,NV,9.0,7.7,10.6,32
2015,AZ,9.1,8.4,9.9,4
2015,IL,9.1,8.3,9.9,17
2015,DC,9.3,8,10.7,11
2015,FL,9.3,8.6,10,12
2015,MD,9.4,8.6,10.2,24
2015,MI,9.5,8.8,10.2,26
2015,OH,9.5,8.9,10.2,39
2015,CA,9.6,9,10.3,6
2015,NC,9.6,8.9,10.3,37
2015,OR,9.6,8.7,10.5,41
2015,VA,9.6,8.9,10.3,51
2015,DE,9.9,8.9,11,10
2015,MO,10.2,9.4,11.1,29
2015,IN,10.5,9.5,11.5,18
2015,NM,10.5,9.5,11.5,35
2015,SC,10.5,9.8,11.2,45
2015,GA,10.7,9.8,11.6,13
2015,OK,10.7,9.9,11.5,40
2015,AR,11.2,10.2,12.4,5
2015,TX,11.2,10.3,12,48
2015,TN,11.4,10.4,12.5,47
2015,LA,11.8,10.8,12.9,22
2015,AL,12.0,11.2,12.9,1
2015,KY,12.1,11.1,13.1,21
2015,WV,12.5,11.6,13.4,54
2015,MS,13.6,12.5,14.7,28
2015,GUAM,14.2,11.8,16.9,
2015,PUERTO RICO,14.7,13.8,15.7,
2016,CO,6.2,5.8,6.6,8
2016,MT,6.9,6.2,7.7,30
2016,SD,6.9,6.1,7.8,46
2016,VT,7.3,6.5,8.1,50
2016,MN,7.6,7.1,8,27
2016,WY,7.6,6.7,8.6,56
2016,AK,7.7,6.5,9.2,2
2016,NH,7.7,7,8.5,33
2016,UT,7.7,7.1,8.3,49
2016,NE,8.0,7.5,8.6,31
2016,ID,8.1,7.3,9,16
2016,IA,8.1,7.5,8.8,19
2016,NJ,8.1,7.3,8.9,34
2016,ND,8.2,7.4,9,38
2016,MA,8.3,7.6,9,25
2016,DC,8.4,7.6,9.3,11
2016,OR,8.4,7.6,9.2,41
