year,state,inactivity_prevalence,ci_low,ci_high,state_fips
2014,VIRGIN ISLANDS OF THE U.S.,,No Data,No Data,
2014,HI,27.5,22.6,33,15
2014,ID,27.6,22.3,33.7,16
2014,OR,27.6,22.5,33.4,41
2014,UT,29.0,25.6,32.8,49
2014,CA,29.3,25.1,33.8,6
2014,AK,30.0,23.9,36.8,2
2014,IA,30.1,26,34.6,19
2014,NM,30.5,26.5,34.8,35
2014,ND,30.6,25.5,36.2,38
2014,RI,30.6,26.2,35.4,44
2014,NV,30.7,23.7,38.9,32
2014,WA,30.7,26.4,35.4,53
2014,NH,31.4,26,37.3,33
2014,WI,31.5,26.3,37.1,55
2014,AZ,31.6,27.8,35.6,4
2014,MN,31.9,28.5,35.4,27
2014,SD,32.2,24.6,40.8,46
2014,CO,32.5,28.6,36.7,8
2014,NE,32.6,29.2,36.3,31
2014,MA,33.2,29.1,37.5,25
2014,GA,33.5,29.1,38.2,13
2014,VT,34.2,29.1,39.7,50
2014,ME,34.6,30.3,39.3,23
2014,MD,35.0,30.7,39.6,24
2014,NJ,35.1,30.8,39.6,34
2014,MI,35.3,31.1,39.6,26
2014,MT,36.1,30.5,42.1,30
2014,FL,36.2,31.8,40.9,12
2014,NC,36.4,32.2,40.7,37
2014,CT,36.5,31.4,42,9
2014,MO,36.6,31.5,41.9,29
2014,VA,37.0,32.9,41.4,51
2014,PA,37.7,33.9,41.7,42
2014,OH,38.2,34,42.5,39
2014,KS,38.4,35.3,41.7,20
2014,GUAM,38.4,31.6,45.8,
2014,SC,38.9,35.3,42.5,45
2014,WY,39.0,31.8,46.8,56
2014,NY,39.4,34.3,44.7,36
2014,DE,39.5,33.2,46.2,10
2014,AL,39.7,35.8,43.8,1
2014,DC,39.9,30.8,49.8,11
2014,IN,39.9,36.3,43.7,18
2014,LA,40.0,35.7,44.4,22
2014,OK,41.2,37.5,45,40
2014,IL,41.5,35.4,47.9,17
2014,MS,41.7,35.9,47.8,28
2014,TN,42.0,36.7,47.5,47
2014,KY,43.2,38.7,47.8,21
2014,TX,43.2,39.2,47.4,48
2014,WV,43.3,39.1,47.7,54
2014,PUERTO RICO,51.0,46.5,55.6,
2014,AR,51.6,45.8,57.3,5
2015,VIRGIN ISLANDS OF THE U.S.,,No Data,No Data,
2015,SD,22.4,17.8,27.8,46
2015,OR,26.0,20.8,32,41
2015,ID,26.7,21.3,32.8,16
2015,WA,27.0,23.6,30.8,53
2015,NM,27.6,22.9,32.9,35
2015,UT,28.7,24.5,33.4,49
2015,CA,28.8,24.9,33,6
2015,CO,28.9,24.1,34.1,8
2015,DC,29.2,22,37.7,11
2015,WI,29.3,23.4,36.1,55
2015,HI,29.5,24.5,35,15
2015,MT,30.9,25.1,37.3,30
2015,AZ,31.9,27.1,37.1,4
2015,NV,32.2,23.6,42.3,32
2015,ME,33.3,28.5,38.5,23
2015,MN,33.5,29.9,37.3,27
2015,AK,35.0,25.1,46.4,2
2015,NE,35.1,31,39.4,31
2015,WY,35.6,28.9,43,56
2015,MI,36.2,31.9,40.7,26
2015,GUAM,36.5,27,47.1,
2015,GA,36.7,31.2,42.6,13
2015,IL,36.7,31.2,42.6,17
2015,DE,36.8,30.3,43.9,10
2015,KS,37.6,35,40.3,20
2015,IA,37.8,32.4,43.6,19
2015,VT,37.8,31.9,44.1,50
2015,CT,38.1,33.2,43.2,9
2015,NH,38.3,32,45,33
2015,TX,38.7,33.8,43.9,48
2015,NC,39.0,34.3,43.9,37
2015,SC,39.0,35,43.2,45
2015,MD,39.1,33,45.5,24
2015,PA,39.1,33.4,45.1,42
2015,NY,39.3,35.1,43.7,36
2015,VA,39.5,34.8,44.5,51
2015,MA,40.1,34.6,45.8,25
2015,IN,40.5,34.9,46.5,18
2015,OH,41.0,36.3,45.8,39
2015,ND,41.6,35,48.6,38
2015,WV,41.6,37.5,45.9,54
2015,RI,41.7,35.3,48.4,44
2015,NJ,41.9,36.6,47.4,34
2015,FL,42.2,37.2,47.4,12
2015,TN,43.2,37.2,49.4,47
2015,MO,46.1,40.8,51.4,29
2015,MS,46.3,41.4,51.3,28
2015,AR,46.5,40.1,53,5
2015,OK,46.6,41.7,51.6,40
2015,KY,46.7,41.5,52,21
2015,AL,47.2,42.6,51.9,1
2015,LA,48.3,42.4,54.3,22
2015,PUERTO RICO,58.0,53.6,62.2,
2016,UT,24.3,20.6,28.6,49
