year,state,smoking_prevalence,ci_low,ci_high,state_fips
2014,VIRGIN ISLANDS OF THE U.S.,,No Data,No Data,
2014,PUERTO RICO,9.8,7.4,12.9,
2014,UT,12.4,9.9,15.6,49
2014,CA,12.7,9.9,16.2,6
2014,NJ,13.9,11,17.5,34
2014,TX,14.1,11.4,17.2,48
2014,HI,14.8,10.9,19.8,15
2014,NM,15.2,12.2,18.8,35
2014,OR,16.5,12.1,22.1,41
2014,WI,16.5,11.9,22.5,55
2014,AK,16.6,11.7,23.1,2
2014,ID,16.7,12,22.8,16
2014,WA,16.7,12.8,21.5,53
2014,AZ,16.9,13.4,21.2,4
2014,FL,16.9,13.3,21.1,12
2014,CT,17.1,13.1,22,9
2014,ME,17.5,14,21.6,23
2014,MN,17.6,14.9,20.8,27
2014,NY,18.0,14.2,22.5,36
2014,MD,18.3,14.5,22.9,24
2014,WY,18.5,13.1,25.5,56
2014,CO,18.6,15.2,22.5,8
2014,NH,18.8,14.1,24.6,33
2014,IL,19.2,14.4,25.2,17
2014,MI,19.2,15.7,23.3,26
2014,NC,19.2,15.6,23.4,37
2014,MO,19.5,15.5,24.3,29
2014,ND,19.6,15.1,25.1,38
2014,RI,19.6,15,25.1,44
2014,SD,19.6,14.4,26,46
2014,OH,19.7,16.2,23.7,39
2014,GA,19.8,15.7,24.6,13
2014,KS,19.8,17,23,20
2014,VT,19.8,15.2,25.3,50
2014,NV,20.1,13.8,28.1,32
2014,OK,20.2,17.2,23.7,40
2014,VA,20.2,16.6,24.2,51
2014,LA,20.7,17.1,24.9,22
2014,NE,20.9,17.6,24.6,31
2014,DE,21.0,15.5,28,10
2014,AL,21.2,17.9,24.9,1
2014,MS,21.7,16.7,27.8,28
2014,IA,22.1,17.8,27,19
2014,SC,22.2,19.1,25.7,45
2014,PA,22.7,19.2,26.7,42
2014,MA,22.8,18.6,27.7,25
2014,IN,23.4,20,27.2,18
2014,GUAM,23.9,17.9,31.2,
2014,AR,24.1,18.9,30.2,5
2014,WV,24.6,20.7,28.8,54
2014,KY,25.8,21.8,30.3,21
2014,MT,27.2,21.7,33.5,30
2014,TN,27.5,22.3,33.5,47
2014,DC,27.8,18.9,39,11
